,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
펫피플,0.002733005,0.411330237,56483,1625997542,95646914.24,9779.92404,6618.48215,0.474618432,0.69915277,318.3949579,150.50473,12.10924807,8.928676203
리뷰쉐어,0.001372655,0.630254491,84261,2445774455,188136496.5,13716.28581,10983.24875,0.985891714,0.69547268,253.6848179,459.1499486,9.704106109,7.619081888
고운세상코스메틱,0.005937262,0.243374653,156766,11199019241,559950962.1,23663.28299,16640.85994,0.890871491,0.684293013,408.8671954,40.9910554,14.89441,9.612039538
유니테이크홀딩스,0.056065477,0.005839582,194208,13443943100,640187766.6,25301.93207,18464.61115,0.26819529,0.681095532,431.8227136,0.10415647,-36.53757889,-57.81141188
티켓플레이스,0.025400404,0.127008771,549206.9035,24970531379,2080877615,45616.63748,36961.90472,0.667431933,0.678790547,263.4726669,5.000265872,10.56032937,1.919393558
미스터멘션,0.00284858,0.311719966,105186,3918160922,217675606.8,14753.83363,10214.46582,0.521642828,0.672558994,351.5732965,109.4299634,14.92611007,10.73955705
하이앤디,0.000321548,1.005439935,51557.91016,801547271.4,72867933.77,8536.271655,6576.48465,0.51862886,0.669780148,205.1457516,3126.875153,8.001687847,6.692274115
널리소프트,0.004783837,0.38988759,155089,9754098846,650273256.4,25500.456,16627.92667,0.709873038,0.66879673,310.3935484,81.50102143,11.15007385,7.813227529
고피자,6.42698E-05,0.678643864,32300,413244078.6,25827754.91,5082.101427,3429.870481,1.111667012,0.664487772,279.0713639,10559.29074,13.65058253,11.71019338
다노,0.023268794,0.148887137,850213,4.30163E+11,20483948454,143122.1452,108452.3221,0.365057772,0.664027503,504.6010557,6.3985757,10.78136206,3.131565203
머지홀딩스,0.006354298,0.272547005,1772099,1.41401E+12,78555929253,280278.3068,176190.7989,6.525474589,0.65956447,457.5673803,42.89175718,13.47673755,8.75478795
