,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
나인탭,0.007182187,0.266341255,827898,1.92829E+11,10148890257,100741.7007,61540.7585,0.296286415,0.806939465,443.7719738,37.08358893,13.20974356,8.394953691
번개장터,0.000273779,0.046940926,2052938044,9.94213E+13,4.73435E+12,2175855.251,1790863.046,0.266222445,0.805307241,618.9031593,171.4556784,108.9559872,81.06302682
클로버추얼패션,0.000157875,0.072897734,50692774.08,48981205928,2332438378,48295.32459,39428.91697,0.342584235,0.804349804,458.9737815,461.7423127,83.97721944,65.9504327
한국증권금융,0.018554161,0.159377043,157400.7838,4167429213,231523845.2,15215.90764,13813.3788,3.148363892,0.80429237,352.6834817,8.589827305,12.08657379,4.685073297
뉴플로이,0.019309882,0.355379173,192546,12474395860,594018850.5,24372.50193,18322.63339,0.237146487,0.803935849,430.2508538,18.40400577,7.773294447,4.258492289
소프트베리,0.000177412,0.084911212,19462456.76,11083399591,554169979.5,23540.81518,17326.7358,0.683870686,0.803395603,408.6596404,478.6104381,72.52305558,57.04557058
오시리스시스템즈,0.000408445,0.576246035,140156,6284553982,369679646,19227.05505,13696.79587,0.488530433,0.802655562,341.3785052,1410.830593,12.57587366,10.29208338
디코드,0.002440477,0.281275849,63864,1142860750,54421940.47,7377.122778,5228.81507,0.487106874,0.800816867,380.0578369,115.2544493,16.73200254,12.09019036
리테일앤인사이트,1.59558E-05,1.09925328,176509,5692467369,474372280.7,21780.08909,16236.20348,1.51466859,0.800648233,245.7300357,68893.5482,10.13429417,8.936263833
패스트파이브,0.016039873,0.098658512,230913.4223,7647140931,364149568.1,19082.70338,15669.71421,0.344648913,0.799064814,419.9745801,6.150828721,15.83794589,4.356024062
비디오몬스터,0.02306882,0.410803723,99086,2124063674,177005306.2,13304.33411,11129.49203,1.787594278,0.796256196,233.9002832,17.80774794,6.637049729,3.601693102
파이브락스,1.38642E-07,0.877132432,34369062,4.57279E+14,2.17752E+13,4666391.414,2644093.504,1.953342435,0.795923147,650.9476578,6326584.816,17.85393868,16.35250327
메가스터디교육,0.059665587,0.114503218,7729544,2.37163E+13,1.12935E+12,1062707.82,839903.2943,0.826932635,0.795503085,588.8058918,1.919083062,3.742619123,-3.81876879
글로벌네트웍스,0.013663276,0.210244758,278371.9598,22623536827,1077311277,32822.42035,27053.08471,0.300600328,0.795110959,442.7524185,15.38758004,12.20840826,6.326717135
크리에이터링크,0.009128388,0.092036795,4102589.116,1.06918E+12,50913290803,225639.7368,181580.8085,0.2978751,0.792862524,523.7211867,10.08248039,22.84184368,9.823947066
페이레터,0.000987975,0.33576014,9287787.395,2.23074E+13,1.06226E+12,1030659.089,792052.6745,0.651289544,0.792705099,587.51978,339.8466997,17.30817297,13.39736297
딥아이,3.38833E-05,0.130737235,97923575.87,35478794726,1773939736,42118.16397,30947.81015,0.416055626,0.791695668,431.929375,3858.455549,63.14867037,53.07796125
코데즈컴바인,3.0065E-08,1.462760069,46794,444178900.6,31727064.33,5632.678255,4923.474187,0.998462527,0.789865876,247.8175289,48653275.77,12.10056913,11.20024521
콜리,1.09382E-05,0.335577024,33607915.76,1632125317,125548101.3,11204.82491,8534.158153,3.201094963,0.786044163,248.4265938,30679.32783,30.78580139,26.86147142
짐싸,0.014754508,0.165745278,217490.732,13259380961,662969048.1,25748.18534,17510.19696,0.530055233,0.7838764,412.2447772,11.23353495,13.40114331,6.104969018
이십사점오,0.026306357,0.374692734,251359,13387346219,1115612185,33400.7812,27209.24928,4.228232099,0.783417773,255.9920296,14.24342912,6.62419378,3.340002056
워시스왓,0.006986938,0.133021561,332278.5607,9441189936,472059496.8,21726.93022,15591.48276,0.687646921,0.782754023,405.4523118,19.03860644,21.04492837,11.63865728
매쓰홀릭,0.034692208,0.124486192,264238,24458720771,1164700989,34127.71585,26350.81775,0.400622899,0.782194773,444.3903348,3.588304102,8.026715263,-0.246755847
의식주컴퍼니,0.001567191,0.05562565,8321835.607,11263638345,938636528.7,30637.1756,22309.45631,0.31551244,0.782121586,253.9192665,35.49385457,62.40920205,39.38258065
트리플콤마,0.039548742,0.24804268,165318,7409624458,463101528.6,21519.79388,13358.43139,0.583225283,0.782115316,325.25531,6.271822267,6.384289687,1.805022715
아이알큐더스,0.015319886,0.206851723,153826,5191112117,305359536.3,17474.53966,12265.08288,0.287694713,0.778910259,338.1290076,13.50217147,11.71549569,5.787835061
채널코퍼레이션,8.12975E-06,0.634474628,1344782,6.87707E+11,32747970894,180964.0044,113174.781,0.797483712,0.778759191,514.4542436,78043.5659,17.75465503,15.67901487
윙잇,1.39916E-06,0.29365312,163630452.6,35629697766,1696652275,41190.43912,36591.86295,0.612615386,0.77497597,452.2903808,209878.29,41.73027236,37.24555372
지인플러스,0.000210524,0.101497406,20928718.61,29221867911,1537993048,39217.25447,29955.02509,1.026778017,0.764460953,407.9211396,482.1190384,60.74443852,47.79600954
달콤소프트,7.91956E-07,0.357721587,64661654.62,19370188527,922389929.9,30370.87305,22491.00137,1.926322957,0.759668373,439.4920508,451693.4832,36.39906217,32.71755389
트레드링스,0.000716593,0.281286343,400069.0981,18514989264,881666155.4,29692.86371,16155.88801,0.479520014,0.757450886,438.5438047,392.5330673,21.17928586,16.50927101
모노리스,0.00074191,0.060726654,5178081.442,2279675528,162833966.3,12760.6413,9144.607795,2.283763175,0.756594064,270.7153828,81.85182633,71.6611931,50.23629203
엔코드,0.005752648,0.279663713,63864,1182497763,65694320.18,8105.203278,6217.215159,0.475456787,0.75446344,330.0094145,48.61477852,13.60793597,8.993771981
투게더앱스,6.06433E-06,0.222992687,47181213.91,6598184010,314199238.6,17725.6661,13100.11541,0.478981275,0.753794477,416.8762951,36771.2219,47.14138862,41.23571476
설로인,6.77761E-05,0.697202513,106020,3709938056,231871128.5,15227.31521,9280.47197,0.936052476,0.753429222,314.1870767,10286.85201,13.24969957,11.36096587
바램시스템,0.01042007,0.217618483,74573,1970095424,98504771.19,9924.956987,7906.896029,4.932791784,0.752902599,374.1123109,20.88455011,13.32673628,7.551581682
알리콘,0.013929673,0.108861419,2652680.056,1.18345E+12,56354984496,237392.0481,179003.3593,0.297826652,0.752678972,525.8536671,7.81507359,16.74432855,6.01913766
더코퍼레이션,0.000280437,0.823388744,5501136,1.10815E+13,8.52427E+11,923269.6695,632737,1.295913993,0.752111372,363.1275926,2936.095106,9.69422672,8.095334923
아이지넷,0.004916355,0.242189168,138424,7433045947,353954568.9,18813.68037,14846.05571,0.950418726,0.749825882,419.3782617,49.26193276,15.77120401,10.44166756
해빛,0.107173714,0.035851344,744234.6087,1.52878E+11,7279908759,85322.38135,62889.63587,0.178423645,0.744336669,482.8760675,0.334516209,-7.656490113,-16.86437238
에이에프아이,0.000482218,0.584270727,80857,1973766692,131584446.1,11471.02638,7702.120322,1.592695524,0.743584484,286.4273907,1211.63293,12.14140831,9.889247104
써머스플랫폼,0.006584514,0.176852437,20046804.83,7.83909E+13,3.7329E+12,1932071.946,1559849.48,0.420750641,0.743524243,613.9123484,26.85884508,17.9385624,10.75921336
코멘토,0.000734383,0.043685738,9686303.192,30933277726,1473013225,38379.85442,27744.09504,0.364557507,0.743280132,449.322095,59.48629455,91.979621,62.33184311
스튜디오씨드코리아,0.046575215,0.06242315,448901,68759224594,3274248790,57221.05198,42964.52401,0.230391944,0.742625174,466.0964404,1.340265426,2.686899703,-9.395464107
뮤팟,0.03573309,0.273993331,72192,1367420557,105186196.7,10256.03221,8382.613131,0.65178836,0.741191963,246.1261543,7.667776094,6.576857795,2.324854063
케이뱅크,0.002880412,0.118161179,45746284.19,5.04826E+13,2.40393E+12,1550461.565,1023738.371,2.405921861,0.736133329,604.6706556,41.02231253,30.68462745,19.80441771
자비스앤빌런즈,0.00076238,0.349448723,2035918,1.50197E+12,71522210172,267436.3666,170282.6946,0.483250638,0.735643331,530.8587513,458.3657607,17.49706798,13.73659926
비바이노베이션,7.75835E-09,1.014265193,6651442.454,8067050746,537803383.1,23190.58824,18214.85924,0.903640519,0.724249914,307.5450539,130732082.1,18.4258127,17.12737725
로보코리아,0.000403914,0.163889646,25536686.08,27393504677,2490318607,49903.09216,41054.72647,1.45775744,0.721905818,243.9924414,405.7536264,36.55496983,28.5390872
시옷,0.000125621,0.486281449,706443,2.17387E+11,10351775115,101743.6736,72243.74575,0.560214005,0.720322246,490.2689009,3871.02236,16.98428013,14.27675802
풋셀,0.008497822,0.128608457,1418947.479,3.01442E+11,14354382804,119809.7776,94159.58495,0.393845963,0.716718748,497.1337442,15.13428518,19.81647192,10.21109196
더브이플래닛,2.83663E-05,0.300974327,2436243.987,41907739.84,3223672.295,1795.458798,1198.332191,0.784629761,0.716453911,200.8184125,10610.26785,30.79566293,26.42042667
스마일벤처스,0.019923485,0.378961609,214302,17974004475,1283857463,35830.95676,26714.32919,0.456866735,0.707620777,299.6238904,19.02084962,7.384421668,4.082824494
포잉,0.078550085,0.00410557,180281,10667175461,507960736.2,22537.9843,17442.62484,0.210268857,0.705743436,426.9642089,0.05226691,-35.70707632,-51.64014087
지바카케어,1.49018E-05,0.257625348,29632651.1,2236245147,149083009.8,12209.95535,9148.082631,0.507611712,0.705636796,288.3002073,17288.14764,37.87364917,32.76203366
스마트동스쿨,9.58659E-05,0.117161375,5791564.881,1275694530,60747358.57,7794.059184,6188.755423,0.652281922,0.704310381,382.3669173,1222.138768,60.62190817,49.39055148
스톤아이,0.000830851,0.032210602,6079768.933,10238544869,538870782.6,23213.59047,17560.29211,0.43540511,0.703131155,387.9947409,38.76822348,110.6973399,70.83959194
펫피플,0.002733005,0.411330237,56483,1625997542,95646914.24,9779.92404,6618.48215,0.474618432,0.69915277,318.3949579,150.50473,12.10924807,8.928676203
리뷰쉐어,0.001372655,0.630254491,84261,2445774455,188136496.5,13716.28581,10983.24875,0.985891714,0.69547268,253.6848179,459.1499486,9.704106109,7.619081888
고운세상코스메틱,0.005937262,0.243374653,156766,11199019241,559950962.1,23663.28299,16640.85994,0.890871491,0.684293013,408.8671954,40.9910554,14.89441,9.612039538
유니테이크홀딩스,0.056065477,0.005839582,194208,13443943100,640187766.6,25301.93207,18464.61115,0.26819529,0.681095532,431.8227136,0.10415647,-36.53757889,-57.81141188
티켓플레이스,0.025400404,0.127008771,549206.9035,24970531379,2080877615,45616.63748,36961.90472,0.667431933,0.678790547,263.4726669,5.000265872,10.56032937,1.919393558
미스터멘션,0.00284858,0.311719966,105186,3918160922,217675606.8,14753.83363,10214.46582,0.521642828,0.672558994,351.5732965,109.4299634,14.92611007,10.73955705
하이앤디,0.000321548,1.005439935,51557.91016,801547271.4,72867933.77,8536.271655,6576.48465,0.51862886,0.669780148,205.1457516,3126.875153,8.001687847,6.692274115
널리소프트,0.004783837,0.38988759,155089,9754098846,650273256.4,25500.456,16627.92667,0.709873038,0.66879673,310.3935484,81.50102143,11.15007385,7.813227529
브레인콜라,0.000295723,0.051594221,7757824.608,3857446280,183687918.1,13553.15159,9320.31619,0.338174649,0.666013978,405.6037243,174.4681594,99.47480847,74.09497972
고피자,6.42698E-05,0.678643864,32300,413244078.6,25827754.91,5082.101427,3429.870481,1.111667012,0.664487772,279.0713639,10559.29074,13.65058253,11.71019338
다노,0.023268794,0.148887137,850213,4.30163E+11,20483948454,143122.1452,108452.3221,0.365057772,0.664027503,504.6010557,6.3985757,10.78136206,3.131565203
머지홀딩스,0.006354298,0.272547005,1772099,1.41401E+12,78555929253,280278.3068,176190.7989,6.525474589,0.65956447,457.5673803,42.89175718,13.47673755,8.75478795
캐플릭스,0.000126821,0.092388275,8097222.007,2374877983,113089427.8,10634.35131,8923.902858,0.520725447,0.65923558,395.4174787,728.4948194,71.24221664,57.00715714
미니맵,0.000320923,0.375695412,1090475,4.29723E+11,20463018242,143049.0064,76967.49358,0.525057615,0.658039216,504.5795872,1170.67192,18.78996334,15.28756791
청담러닝,0.002712742,0.196872025,661717.8223,73372305978,3493919332,59109.38447,36413.88202,0.423037082,0.657512164,467.4600892,72.57306888,21.46753963,14.8690506
엘리스,0.000205956,0.139677331,6009474.502,15159193479,721866356.1,26867.57072,19826.02403,0.498369283,0.656058955,434.3443621,678.19011,46.60619431,37.19150349
아드리엘,0.009648563,0.302241219,73977,2361622768,157441517.9,12547.5702,9766.230449,2.389596678,0.655577618,289.1184695,31.32499918,11.04369772,6.821187164
코인플러그,5.6537E-05,0.494166796,291199,37602536304,1790596967,42315.44596,31262.68548,3.590207398,0.652247105,453.4221129,8740.587447,18.36362646,15.69892447
아트맵,0.003778698,0.013391215,413492.0433,293484618.1,20963187.01,4578.557307,3753.102885,2.541262092,0.651601661,242.0158984,3.543869863,73.68815766,-3.013328201
코드스쿼드,2.45944E-06,0.387972459,2480326.392,225531471.3,11870077.44,3445.297873,2824.065679,4.394052797,0.651381189,315.5010945,157748.2167,30.84930209,27.45486129
루닛,0.000734339,0.030805073,1999445.058,1301338207,61968486.05,7872.006482,6221.279482,0.46362244,0.650734247,382.784867,41.94936547,118.4696558,76.71371285
닷,9.17179E-07,0.738885215,123898,6447917792,307043704.4,17522.66259,14204.57088,0.903413221,0.650446327,416.3925138,805606.1373,18.40520434,16.62284865
갓잇코리아,0.008936397,0.260281472,444789.7503,39376689505,2625112634,51235.85301,44648.82257,0.456637931,0.648049299,331.3258446,29.12599818,12.52380165,7.632009344
움클래스,0.000355516,0.113343289,604649.6101,24576867.36,1755490.526,1324.949254,1137.254902,0.824010662,0.647898718,207.2956243,318.813701,50.70068168,39.11781679
트릿지,0.018932613,0.355255811,465161,1.31114E+11,6243502848,79015.83922,61271.44553,0.901820406,0.643900401,479.6509515,18.76422539,7.835496686,4.315992035
이제이엔,0.000283037,0.072601316,565676090.1,4.65471E+13,2.21653E+12,1488801.443,1143022.334,0.389219347,0.637561647,602.9662421,256.5083297,76.10908138,58.03993696
텀블벅,0.000462586,0.034384706,259027466.6,8.89163E+12,4.23411E+11,650700.3727,491522.3556,0.369447833,0.63653068,568.2037914,74.33154261,123.6404661,85.84820645
에스티유니타스,0.086297078,0.22004238,2896712,3.61203E+12,1.72002E+11,414730.6898,324072.7738,0.170055811,0.631027871,549.2861552,2.549824235,3.055513768,-1.243501151
하이어엑스,0.011960944,0.420404676,24626,279860618.3,21527739.87,4639.799551,3641.865531,1.446246795,0.629997969,225.5030875,35.14811778,8.232780095,5.186844349
파운트,0.001309231,0.389820021,627156,2.84723E+11,14985444779,122415.0513,83165.84857,8.517558132,0.62900144,451.1765592,297.7473948,14.56358848,11.19652275
모두컴퍼니,0.01797361,0.333475037,729372,3.00962E+11,14331542742,119714.4216,89634.35926,0.295686681,0.628243845,497.1003034,18.55359299,8.310356269,4.563129156
퍼플코퍼레이션,0.001377027,0.598522773,72808344,2.60299E+15,1.73533E+14,13173182.83,10564085.18,0.632180312,0.628064159,497.8108115,434.6485883,10.12592079,7.930624352
박스트리,0.006326426,0.297598006,70551,1793543315,112096457.2,10587.56144,6510.449284,0.791574342,0.621881881,302.5579245,47.04046621,12.67093995,8.337764453
케이티스튜디오지니,0.01501252,0.283830724,240559,22175184634,1478345642,38449.26062,34184.42363,0.500549985,0.62121639,322.7128424,18.90626794,9.836238777,5.429386945
스마트잭,0.020144331,0.171833143,17034.42537,61861842.69,4418703.049,2102.071133,1671.478826,0.677333419,0.619530825,220.218995,8.530099273,11.16589859,4.305938024
인스팅터스,0.001601272,0.299838134,676394,2.78084E+11,13242116646,115074.3961,66757.14625,0.461964976,0.612722295,495.4400331,187.2500121,17.35819731,12.98929971
아이앤나,0.023893792,0.13009109,44102,987927964.2,49396398.21,7028.257125,5428.3264,2.085343297,0.611729262,360.3077614,5.444556065,11.00508178,2.45256755
그랑핸드,0.000170834,0.15288566,711697.0524,252411578.7,12019598.99,3466.929331,2826.215496,0.875018525,0.61147152,348.3430316,894.9367706,44.40682571,35.80243488
트립비토즈,0.006293306,0.121493404,188904.0962,4436312284,221815614.2,14893.47556,9021.573887,0.360019309,0.609412068,390.3471406,19.3051804,23.16652084,12.86061422
비브로스,0.031068992,0.091136683,2573235,3.11428E+12,1.48299E+11,385096.1384,290397.3525,0.340965124,0.608373114,546.1724283,2.933364639,8.806056721,-1.970512349
인크루트,0.001183377,0.012476334,223753303.2,2.97589E+13,1.41709E+12,1190415.77,954051.3358,0.359808089,0.606317351,593.572154,10.54299589,172.4386275,76.02678259
아이지롯,6.5094E-05,0.111929764,50732704.83,26563234949,1475735275,38415.30001,27290.69738,4.378495003,0.605369418,386.0235995,1719.510703,66.51908107,54.75998858
스픽이지랩스코리아,0.000351561,0.084044522,162624840.4,5.83783E+11,48648583813,220564.2397,179458.2393,0.299824344,0.60126432,301.2946624,239.0608978,64.8930387,49.28854807
네이버,0.000371157,0.041835668,49299267340,2.53602E+17,1.20763E+16,109892171.5,97115761.86,0.416355578,0.599767684,783.6304277,112.7169789,111.9458791,80.74339198
티오리한국,0.001468941,0.237293466,56881.47134,695780481.3,33132403.87,5756.075388,3966.349073,1.382732969,0.589528268,369.6364689,161.5405469,21.29630143,15.78053403
엔라이즈,0.019885277,0.37100492,403991,1.16341E+11,6463409283,80395.33123,62399.91666,0.494293033,0.579872503,412.6096098,18.65726678,7.486081081,4.11695618
비마이펫,0.002522157,0.36533955,120072,6961769314,435110582.1,20859.30445,12592.26451,2.383155749,0.579213803,324.2577723,144.8520341,13.52604166,9.946006356
쿠팡,0.000379948,0.034659629,8360213912,5.64441E+15,2.68782E+14,16394562.1,14428487.91,0.408647359,0.577369362,703.7233309,91.22210715,128.8057013,91.22083256
센스톤,0.001906665,0.022149861,5505023.628,8186659115,744241737.7,27280.7943,22489.92403,1.556076831,0.576645305,230.706641,11.61707238,101.9463838,47.20207331
트레바리,5.04073E-06,0.210836969,55956781.4,7953741116,378749576.9,19461.48959,17009.68475,0.731369671,0.57067743,420.8001018,41826.67722,50.47044308,44.22425949
베스핀글로벌,4.26153E-06,0.21383151,71965839.26,11138974063,530427336.3,23031.00815,18637.65903,0.67833043,0.569207651,427.8730642,50177.20647,50.61508679,44.45635158
도그메이트,0.011095031,0.12117541,135296.1056,7286015673,346953127.3,18626.67784,11517.85114,0.600844584,0.568946747,418.9587052,10.9215924,18.0746488,8.118094048
피유엠피,0.017871178,0.827659619,1216162,5.89255E+11,49104617424,221595.6169,146685.203,0.266478908,0.565272914,301.4066269,46.31253955,4.536100603,2.978548942
안다르,0.050234684,0.001902229,1762925,1.33434E+12,63540104945,252071.6266,176106.6066,0.248006055,0.562847706,528.3736795,0.037866843,-62.79005054,-88.0496569
더스킨팩토리,9.30527E-05,0.153095536,7760272.838,3705831030,205879501.6,14348.50172,10352.71226,0.729080186,0.561521356,350.570429,1645.256191,48.34336201,39.74639073
메이저맵,4.65177E-05,0.188549121,8689899.832,714086544.3,47605769.62,6899.693444,5368.800397,1.090614322,0.559368404,271.1769678,4053.280358,44.04811188,37.06514077
아이브코리아,0.066648375,0.122896963,109877,4748476907,395706408.9,19892.37062,16818.50681,3.602020181,0.55860147,243.5541972,1.843960369,3.228333857,-3.719649715
카바조,0.000179235,0.105914848,2149442.137,906400424.7,43161924.98,6569.773587,5395.660973,1.55167099,0.553623196,375.1898553,590.9258069,60.15123796,47.73812451
이브로드캐스팅,0.053112248,0.432815834,515773,1.07265E+11,8251127506,90835.71713,76286.02684,0.309512981,0.553589612,302.837004,8.149077617,4.317315305,1.60712434
지지틱스,0.008597159,0.258548039,2993370.927,3.8145E+12,2.24382E+11,473690.2198,397533.5524,0.514743357,0.550101244,450.3225006,30.07365933,12.74082299,7.811077273
어반베이스,0.003265316,0.24552891,56790,1728210052,82295716.75,9071.69867,6885.470623,0.849908938,0.549416779,388.742422,75.19301187,17.36398141,12.07061941
한율씨엔에스,0.002238476,0.299150189,45731,1525550988,72645285.16,8523.220351,7257.606411,1.314393704,0.546090066,386.12308,133.640112,16.24198591,11.87235278
코리아센터,0.016415424,0.088729693,2106798.29,1.56505E+12,74526242256,272994.9491,200529.3655,0.431486441,0.545264605,531.7227601,5.405263575,16.04804162,3.522896054
111퍼센트,0.00642474,0.230234072,1254304,1.38173E+12,65796683888,256508.6429,175471.8171,5.531092258,0.545262252,529.1065408,35.83554779,15.12278514,9.557989604
라이트브라더스,0.001486101,0.523904833,152738,14212886809,1015206201,31862.30062,22679.47435,2.114838271,0.542315854,296.3370062,352.5365263,11.16340969,8.656784976
허닭,0.00057021,0.351482909,378564,74647224380,3554629732,59620.71563,38221.39889,0.580924941,0.538572968,467.8218516,616.4091844,18.24699358,14.50620043
에이에스엔,0.005071211,0.151611501,336539.6929,26282517290,1251548442,35377.23056,26342.42298,0.640532381,0.537299154,445.9005949,29.89650835,21.68549198,13.28023859
부트페이,0.002529606,0.304475436,8310,44437520.01,2338816.842,1529.319078,1168.737624,1.678971382,0.534362865,284.637959,120.364763,15.60406564,11.31437095
